"day","sourceCurrencyId","targetCurrencyId","rate"
20140504,4,8,33.41100000
20140504,4,9,9.08700000
20140504,4,7,5.11750000
20140504,4,10,5.39910000
20140504,4,1,60.44600000
20140504,4,2,1.68760000
20140504,4,3,1.21740000
20140504,4,4,1.00000000
20140504,4,6,2.97010000
20140504,5,8,18.05500000
20140504,5,9,4.91060000
20140504,5,4,0.54039000
20140504,5,7,2.76550000
20140504,5,10,2.91760000
20140504,5,1,32.66400000
20140504,5,2,0.91197000
20140504,5,3,0.65789000
20140504,5,5,1.00000000
20140504,5,6,1.60370000
20140504,7,5,0.36160000
20140504,7,8,6.52880000
20140504,7,9,1.77570000
20140504,7,4,0.19541000
20140504,7,10,1.05500000
20140504,7,1,11.81200000
20140504,7,2,0.32977000
20140504,7,3,0.23790000
20140504,7,7,1.00000000
20140504,7,6,0.58063000
20140504,8,5,0.05538600
20140504,8,9,0.27198000
20140504,8,4,0.02993000
20140504,8,7,0.15317000
20140504,8,10,0.16159000
20140504,8,1,1.80910000
20140504,8,2,0.05051000
20140504,8,3,0.03643800
20140504,8,8,1.00000000
20140504,8,6,0.08895400
20140504,9,5,0.20364000
20140504,9,8,3.67680000
20140504,9,4,0.11005000
20140504,9,7,0.56316000
20140504,9,10,0.59415000
20140504,9,1,6.65180000
20140504,9,2,0.18572000
20140504,9,3,0.13397000
20140504,9,9,1.00000000
20140504,10,5,0.34274000
20140504,10,8,6.18830000
20140504,10,9,1.68310000
20140504,10,4,0.18522000
20140504,10,7,0.94784000
20140504,10,1,11.19600000
20140504,10,2,0.31257000
20140504,10,3,0.22549000
20140504,10,10,1.00000000
20140504,6,1,20.35300000
20140504,6,2,0.56820000
20140504,6,3,0.40956000
20140504,6,4,0.33669000
20140504,6,5,0.62357000
20140504,6,6,1.00000000
20140504,6,7,1.72230000
20140504,6,8,11.24200000
20140505,1,5,0.03066100
20140505,1,8,0.55190000
20140505,1,9,0.15014000
20140505,1,4,0.01655400
20140505,1,7,0.08466200
20140505,1,10,0.08931800
20140505,1,2,0.02790900
20140505,1,3,0.02011600
20140505,1,1,1.00000000
20140505,1,6,0.04915400
20140505,2,5,1.09860000
20140505,2,8,19.77500000
20140505,2,9,5.37980000
20140505,2,4,0.59315000
20140505,2,7,3.03350000
20140505,2,10,3.20040000
20140505,2,1,35.83100000
20140505,2,3,0.72077000
20140505,2,2,1.00000000
20140505,2,6,1.76000000
20140505,3,5,1.52420000
20140505,3,8,27.43600000
20140505,3,9,7.46390000
20140505,3,4,0.82293000
20140505,3,7,4.20870000
20140505,3,10,4.44020000
20140505,3,1,49.71200000
