DATE,CLOSE_USD,CLOSE_EUR,CLOSE_ZOL,CLOSE_NEFT,CLOSE_SER
2015-07-22,57.0025,61.7622,2030.6,63.92,27.03
2015-07-23,57.0232,62.3948,2010.8,63.69,27.1
2015-07-24,57.3578,62.933,2031.55,63.19,27.44
2015-07-25,58.0374,63.608999999999995,2022.22,65.72,27.04
2015-07-26,,,,,
2015-07-27,,,,,
2015-07-28,58.7816,65.083,2076.21,66.09,27.76
2015-07-29,60.2231,66.6248,2121.32,65.47,28.15
2015-07-30,59.7665,65.9882,2107.44,64.52,28.07
2015-07-31,58.9906,64.6478,2059.03,64.15,27.77
2015-08-01,60.3458,66.0002,2095.47,63.94,28.25
2015-08-02,,,,,
2015-08-03,,,,,
2015-08-04,62.4677,68.577,2195.16,63.67,29.58
2015-08-05,62.9182,68.9961,2210.18,63.7,29.41
2015-08-06,62.7184,68.1435,2190.86,64.34,29.28
2015-08-07,63.8644,69.6314,2227.82,62.75,29.96
2015-08-08,63.8399,69.8089,2239.99,62.71,30.27
2015-08-09,,,,,
2015-08-10,,,,,
2015-08-11,64.4977,70.75399999999999,2270.23,63.25,30.86
2015-08-12,63.2098,69.6762,2262.39,64.53,31.11
2015-08-13,65.0169,72.2078,2334.49,63.58,32.11
2015-08-14,63.9988,71.1475,2299.07,63.43,31.54
2015-08-15,64.9363,72.365,2331.49,63.05,32.46
2015-08-16,,,,,
2015-08-17,,,,,
2015-08-18,65.5034,72.5712,2353.01,62.56,32.07
2015-08-19,65.8289,72.9187,2368.62,61.99,32.23
2015-08-20,65.7222,72.7085,2373.34,63.14,31.36
2015-08-21,66.9608,74.4738,2449.82,62.02,33.37
2015-08-22,68.1216,76.6709,2517.26,62.29,33.86
2015-08-23,,,,,
2015-08-24,,,,,
2015-08-25,70.7465,81.1533,2623.69,61.09,33.98
2015-08-26,69.9461,80.7248,2595.7,60.29,33.44
2015-08-27,69.3142,79.7252,2528.01,57.14,32.11
2015-08-28,67.4473,76.3369,2447.13,58.0,30.94
2015-08-29,66.4779,75.0469,2405.55,57.63,30.86
2015-08-30,,,,,
2015-08-31,,,,,
2015-09-01,66.7152,74.8478,2434.51,58.73,30.97
2015-09-02,65.3495,73.8449,2399.17,58.89,30.84
2015-09-03,66.6756,75.0901,2443.78,58.19,31.21
2015-09-04,67.0102,75.2659,2434.61,58.14,31.69
2015-09-05,67.685,75.4011,2448.14,58.94,31.97
2015-09-06,,,,,
2015-09-07,,,,,
2015-09-08,68.4864,76.3692,2468.32,57.37,32.02
2015-09-09,68.7932,76.9246,2479.04,56.95,32.36
2015-09-10,67.6219,75.5742,2439.98,57.01,32.11
2015-09-11,68.4961,76.6951,2439.49,57.16,32.42
2015-09-12,68.0093,76.8165,2419.09,56.54,31.88
2015-09-13,,,,,
2015-09-14,,,,,
2015-09-15,67.9571,77.1313,2420.84,56.98,31.53
2015-09-16,67.1574,75.9013,2386.95,56.09,30.98
2015-09-17,65.9273,74.2407,2352.24,55.41,30.76
2015-09-18,65.3623,73.9378,2349.73,54.56,31.02
2015-09-19,65.6445,74.9726,2397.55,54.62,32.21
2015-09-20,,,,,
2015-09-21,,,,,
2015-09-22,66.1455,74.8304,2417.65,52.96,32.28
2015-09-23,66.1747,73.9568,2402.66,52.98,31.79
2015-09-24,66.041,73.5367,2387.82,53.55,31.42
2015-09-25,66.5151,74.5435,2426.03,53.38,31.63
2015-09-26,65.6727,73.1397,2418.64,51.85,31.65
2015-09-27,,,,,
2015-09-28,,,,,
2015-09-29,65.547,73.2684,2397.15,51.7,30.98
2015-09-30,66.2367,74.5825,2394.9,49.59,31.01
2015-10-01,65.7364,73.77600000000001,2372.37,50.28,30.96
2015-10-02,65.0336,72.4865,2329.66,49.72,30.42
2015-10-03,65.9414,73.6302,2345.43,49.59,30.59
2015-10-04,,,,,
2015-10-05,,,,,
2015-10-06,65.6248,73.7951,2393.35,48.49,32.18
2015-10-07,65.0962,72.9468,2379.41,48.42,32.8
2015-10-08,62.7061,70.4691,2314.22,50.3,31.89
2015-10-09,62.2942,70.3052,2289.81,49.87,31.26
2015-10-10,61.2967,69.345,2269.3,50.21,31.51
2015-10-11,,,,,
2015-10-12,,,,,
2015-10-13,61.1535,69.5499,2288.97,49.65,31.38
2015-10-14,62.2237,70.8977,2309.42,48.77,31.23
2015-10-15,63.1248,72.0506,2382.03,48.62,32.15
2015-10-16,62.2433,71.281,2368.08,48.57,32.38
2015-10-17,61.3587,69.771,2320.62,48.65,31.64
2015-10-18,,,,,
2015-10-19,,,,,
2015-10-20,61.4419,69.7796,2314.48,46.88,31.33
2015-10-21,62.162,70.529,2345.7,46.25,31.7
2015-10-22,62.6309,71.1738,2364.81,45.43,31.71
2015-10-23,62.7888,71.0895,2354.72,45.42,31.83
2015-10-24,61.9286,68.7903,2332.61,42.45,31.82
2015-10-25,,,,,
2015-10-26,,,,,
2015-10-27,62.5038,69.0104,2348.15,43.5,32.11
2015-10-28,63.5004,70.2124,2379.98,43.64,32.87
2015-10-29,65.3159,72.1479,2460.1,47.4,33.18
2015-10-30,64.1686,70.1427,2391.09,49.93,33.07
2015-10-31,64.3742,70.7537,2375.47,49.45,32.74
2015-11-01,,,,,
2015-11-02,,,,,
2015-11-03,63.7993,70.3961,2329.75,53.12,32.06
2015-11-04,63.8525,70.3782,2321.63,48.64,31.61
2015-11-05,,,,,
2015-11-06,63.3991,68.8261,2257.04,50.47,31.1
2015-11-07,63.6832,69.2555,2267.97,50.6,30.75
2015-11-08,,,,,
2015-11-09,,,,,
2015-11-10,64.6606,69.6136,2277.63,49.29,31.35
2015-11-11,64.3908,69.2394,2261.71,49.35,30.6
2015-11-12,64.5693,69.3797,2259.88,47.76,30.21
2015-11-13,65.4541,70.337,2288.74,49.31,30.39
2015-11-14,66.6343,71.8184,2321.76,47.44,30.83
2015-11-15,,,,,
2015-11-16,,,,,
2015-11-17,66.4607,71.3987,2338.68,49.72,30.75
2015-11-18,65.4799,69.7819,2275.33,49.08,30.23
2015-11-19,64.7785,69.0021,2229.5,49.13,29.68
2015-11-20,64.91199999999999,69.339,2239.53,47.41,29.57
2015-11-21,64.8673,69.3886,2263.11,48.12,29.64
2015-11-22,,,,,
2015-11-23,,,,,
2015-11-24,65.5973,69.7037,2253.15,49.98,30.14
2015-11-25,65.62100000000001,69.8076,2263.78,49.35,29.49
2015-11-26,65.4789,69.8987,2257.19,47.78,29.77
2015-11-27,65.6836,69.7034,2260.66,47.57,29.71
2015-11-28,66.2393,70.3859,2267.32,48.73,30.43
2015-11-29,,,,,
2015-11-30,,,,,
2015-12-01,66.737,70.6478,2265.05,49.2,30.28
2015-12-02,66.2584,70.1345,2277.78,47.8,29.99
2015-12-03,66.7402,70.8647,2289.3,48.33,30.49
2015-12-04,67.7691,71.7404,2289.07,48.34,30.81
2015-12-05,67.6698,73.6721,2312.7,48.39,30.31
2015-12-06,,,,,
2015-12-07,,,,,
2015-12-08,68.5156,74.4079,2385.0,47.4,31.13
2015-12-09,69.3026,75.3111,2388.0,47.94,32.29
2015-12-10,69.2,75.5595,2399.26,48.44,31.68
2015-12-11,69.2151,76.0674,2385.54,48.06,31.76
2015-12-12,69.1755,75.7472,2373.5,48.22,31.51
2015-12-13,,,,,
2015-12-14,,,,,
2015-12-15,70.2244,76.9659,2411.29,47.88,31.43
2015-12-16,70.8295,78.2312,2434.69,49.22,31.22
2015-12-17,70.4012,77.04,2412.27,52.15,31.1
2015-12-18,70.5806,76.6788,2418.65,51.75,31.18
2015-12-19,71.3215,77.4052,2419.73,53.3,32.29
2015-12-20,,,,,
2015-12-21,,,,,
2015-12-22,71.2553,77.483,2453.91,52.43,31.66
2015-12-23,71.1211,77.6145,2462.66,52.81,32.47
2015-12-24,70.9333,77.5443,2443.62,50.63,32.48
2015-12-25,69.5165,76.0441,2395.7,49.66,32.03
2015-12-26,70.26899999999999,77.05,2421.64,49.58,32.08
2015-12-27,,,,,
2015-12-28,,,,,
2015-12-29,70.7865,77.6032,2439.47,50.33,32.32
2015-12-30,72.5066,79.547,2487.91,50.5,33.1
2015-12-31,72.8827,79.6972,2502.1,50.62,32.64
2016-01-01,72.9299,79.6395,2490.71,48.91,32.4
2016-01-02,,,,,
2016-01-03,,,,,
2016-01-04,,,,,
2016-01-05,,,,,
2016-01-06,72.9299,79.6395,,,
2016-01-07,,,,,
2016-01-08,,,,,
2016-01-09,72.9299,79.6395,,,
2016-01-10,,,,,
2016-01-11,,,,,
2016-01-12,75.9507,82.809,2697.53,48.56,34.28
2016-01-13,76.6041,83.4372,2696.48,47.89,34.41
2016-01-14,76.4275,82.7175,2658.2,48.22,34.11
2016-01-15,76.523,83.1499,2683.54,48.08,34.03
2016-01-16,76.565,83.2951,2661.26,47.97,34.51
2016-01-17,,,,,
2016-01-18,,,,,
2016-01-19,78.6678,85.62200000000001,2758.0,47.46,34.9
2016-01-20,78.4862,85.2988,2742.92,47.03,35.02
2016-01-21,79.4614,87.0341,2792.84,49.12,35.84
2016-01-22,83.5913,91.1814,2947.67,48.61,37.76
2016-01-23,80.5714,87.2266,2843.38,49.5,36.29
2016-01-24,,,,,
2016-01-25,,,,,
2016-01-26,77.7965,84.1603,2760.59,49.39,35.44
2016-01-27,81.8394,88.8858,2932.99,48.77,37.42
2016-01-28,78.9969,85.8459,2835.69,50.25,36.4
2016-01-29,77.3674,84.137,2783.42,48.92,35.77
2016-01-30,75.1723,81.9077,2689.71,48.12,32.82
2016-01-31,,,,,
2016-02-01,,,,,
2016-02-02,76.3264,82.8141,2753.33,47.66,34.55
2016-02-03,77.9273,84.9719,2815.09,47.48,35.9
2016-02-04,79.2593,86.5115,2879.52,47.3,36.34
2016-02-05,76.4609,84.8104,2817.8,47.05,35.42
2016-02-06,77.3409,86.5754,2880.69,46.59,36.65
2016-02-07,,,,,
2016-02-08,,,,,
2016-02-09,76.8614,85.6543,2899.65,45.2,36.84
2016-02-10,78.6805,88.0435,3007.48,44.6,37.79
2016-02-11,79.0689,89.2213,3008.35,44.61,39.0
2016-02-12,79.1144,89.3439,3111.44,44.86,38.46
2016-02-13,79.4951,89.8454,3167.94,43.99,40.0
2016-02-14,,,,,
2016-02-15,,,,,
2016-02-16,77.7792,87.1905,3021.92,44.27,39.11
2016-02-17,76.245,85.0894,2971.01,44.26,37.41
2016-02-18,77.8503,86.9588,3009.54,44.48,38.42
2016-02-19,75.4575,84.0521,2921.89,44.42,37.0
2016-02-20,76.3657,84.9187,2999.04,45.11,37.44
2016-02-21,77.1326,85.8563,3053.09,45.91,38.12
2016-02-22,,,,,
2016-02-23,77.1326,85.8563,,,
2016-02-24,77.1326,85.8563,,,
