days_to_holiday,days_after_holiday,Timestamp
37,-10,2017-02-13
38,-9,2017-02-14
39,-8,2017-02-15
40,-7,2017-02-16
41,-6,2017-02-17
42,-5,2017-02-18
43,-4,2017-02-19
44,-3,2017-02-20
45,-2,2017-02-21
46,-1,2017-02-22
0,-1,2017-02-23
0,-12,2017-02-24
1,-11,2017-02-25
2,-10,2017-02-26
3,-9,2017-02-27
4,-8,2017-02-28
5,-7,2017-03-01
6,-6,2017-03-02
7,-5,2017-03-03
8,-4,2017-03-04
9,-3,2017-03-05
10,-2,2017-03-06
11,-1,2017-03-07
0,-54,2017-03-08
1,-53,2017-03-09
2,-52,2017-03-10
3,-51,2017-03-11
4,-50,2017-03-12
5,-49,2017-03-13
6,-48,2017-03-14
7,-47,2017-03-15
8,-46,2017-03-16
9,-45,2017-03-17
10,-44,2017-03-18
11,-43,2017-03-19
12,-42,2017-03-20
13,-41,2017-03-21
14,-40,2017-03-22
15,-39,2017-03-23
16,-38,2017-03-24
17,-37,2017-03-25
18,-36,2017-03-26
19,-35,2017-03-27
20,-34,2017-03-28
21,-33,2017-03-29
22,-32,2017-03-30
23,-31,2017-03-31
24,-30,2017-04-01
25,-29,2017-04-02
26,-28,2017-04-03
27,-27,2017-04-04
28,-26,2017-04-05
29,-25,2017-04-06
30,-24,2017-04-07
31,-23,2017-04-08
32,-22,2017-04-09
33,-21,2017-04-10
34,-20,2017-04-11
35,-19,2017-04-12
36,-18,2017-04-13
37,-17,2017-04-14
38,-16,2017-04-15
39,-15,2017-04-16
40,-14,2017-04-17
41,-13,2017-04-18
42,-12,2017-04-19
43,-11,2017-04-20
44,-10,2017-04-21
45,-9,2017-04-22
46,-8,2017-04-23
47,-7,2017-04-24
48,-6,2017-04-25
49,-5,2017-04-26
50,-4,2017-04-27
51,-3,2017-04-28
52,-2,2017-04-29
53,-1,2017-04-30
0,-7,2017-05-01
1,-6,2017-05-02
2,-5,2017-05-03
3,-4,2017-05-04
4,-3,2017-05-05
5,-2,2017-05-06
6,-1,2017-05-07
0,-1,2017-05-08
0,-34,2017-05-09
1,-33,2017-05-10
2,-32,2017-05-11
3,-31,2017-05-12
4,-30,2017-05-13
5,-29,2017-05-14
6,-28,2017-05-15
7,-27,2017-05-16
8,-26,2017-05-17
9,-25,2017-05-18
10,-24,2017-05-19
11,-23,2017-05-20
12,-22,2017-05-21
13,-21,2017-05-22
14,-20,2017-05-23
15,-19,2017-05-24
16,-18,2017-05-25
17,-17,2017-05-26
18,-16,2017-05-27
19,-15,2017-05-28
20,-14,2017-05-29
21,-13,2017-05-30
22,-12,2017-05-31
23,-11,2017-06-01
24,-10,2017-06-02
25,-9,2017-06-03
26,-8,2017-06-04
27,-7,2017-06-05
28,-6,2017-06-06
29,-5,2017-06-07
30,-4,2017-06-08
31,-3,2017-06-09
32,-2,2017-06-10
33,-1,2017-06-11
0,-145,2017-06-12
1,-144,2017-06-13
2,-143,2017-06-14
3,-142,2017-06-15
4,-141,2017-06-16
5,-140,2017-06-17
6,-139,2017-06-18
7,-138,2017-06-19
8,-137,2017-06-20
9,-136,2017-06-21
10,-135,2017-06-22
11,-134,2017-06-23
12,-133,2017-06-24
13,-132,2017-06-25
14,-131,2017-06-26
15,-130,2017-06-27
16,-129,2017-06-28
17,-128,2017-06-29
18,-127,2017-06-30
19,-126,2017-07-01
20,-125,2017-07-02
21,-124,2017-07-03
22,-123,2017-07-04
23,-122,2017-07-05
24,-121,2017-07-06
25,-120,2017-07-07
26,-119,2017-07-08
27,-118,2017-07-09
28,-117,2017-07-10
29,-116,2017-07-11
30,-115,2017-07-12
31,-114,2017-07-13
32,-113,2017-07-14
33,-112,2017-07-15
34,-111,2017-07-16
35,-110,2017-07-17
